80,72,68,29.82,9,8,1.49
79,73,75,29.95,10,4,0
92,71,77,29.93,9,6,0
83,71,75,29.9,10,9,0
84,70,72,29.99,9,8,1
84,69,69,29.99,10,9,0
85,72,68,29.96,9,9,0.02
84,71,68,30,10,6,0.01
83,71,69,30.04,10,5,0
84,72,72,29.99,10,6,1
83,72,70,29.9,9,8,1
78,72,75,29.93,8,4,0.27
84,72,72,30,9,4,0.24
80,72,77,30.01,8,5,0.49
80,71,76,29.95,10,7,0.01
83,72,69,29.87,10,8,1
86,73,69,29.88,10,9,1
86,73,69,29.97,9,9,0
87,71,64,29.94,9,8,0
86,70,64,29.92,10,6,0
85,69,64,30,10,4,0
84,69,62,30.08,10,3,0.07
82,68,67,30.15,10,4,0
82,69,70,30.12,10,4,0
84,70,72,30.03,8,5,0
85,67,61,29.97,10,5,0
86,68,63,29.99,10,7,0
85,66,59,30,10,6,0
84,68,64,30.01,10,5,0
83,67,60,30.09,10,5,0
85,66,59,30.1,9,4,0
87,67,63,30.03,10,4,0
88,67,55,29.96,10,4,0
83,71,71,29.96,10,3,0.06
84,71,68,29.95,8,4,0.31
82,74,77,29.86,7,5,3.53
75,71,87,29.93,7,3,1.52
78,68,76,29.99,9,2,0
84,72,73,29.96,9,4,0
87,73,70,29.97,9,6,0
86,72,68,30.01,10,2,0
86,71,66,30,9,3,0
84,72,70,29.99,8,3,0.09
86,70,63,29.96,10,5,0
87,71,66,29.95,10,6,0
87,71,64,30,10,6,0
87,69,62,30.05,10,3,0
87,70,63,30.03,10,4,0
86,68,60,29.97,10,6,0
87,71,64,29.94,10,4,0
82,65,59,29.98,10,5,0
79,66,70,30.02,10,3,0
83,66,62,30,10,4,0
83,69,66,29.98,9,3,0
85,68,61,29.99,10,3,0
88,68,64,29.96,10,5,0
90,71,59,29.9,8,6,0
89,70,60,29.89,10,6,0
89,68,60,29.94,10,5,0
89,69,58,29.96,10,4,0
89,71,62,30,10,3,0.05
87,66,62,29.99,10,4,0
83,57,45,30.01,10,4,0
84,61,50,29.97,10,4,0
88,69,58,29.95,10,5,0
91,69,57,29.88,10,7,0
90,71,56,29.92,10,6,0
90,71,59,29.9,10,7,0
87,68,55,29.87,10,7,0
90,71,57,29.92,10,8,0
92,71,55,29.98,10,9,0
91,69,55,29.99,10,8,0
88,69,62,29.94,10,6,0
89,70,59,29.9,10,5,0
89,67,59,29.9,10,5,0
89,68,52,29.93,10,4,1
87,66,58,29.96,10,4,0
88,71,61,29.89,10,5,0
87,72,64,29.87,10,5,0.07
85,72,69,29.91,10,4,0
87,72,68,29.93,10,7,0
90,72,62,29.9,10,8,0
88,73,66,29.91,10,8,0.01
88,70,61,29.95,10,6,0
86,74,65,30,8,5,0.98
87,73,63,30.02,10,4,0.02
86,71,67,30.01,10,3,0.19
82,72,78,30.04,8,3,0.22
84,69,70,29.97,10,3,0
86,69,63,29.9,10,6,0
88,71,63,29.83,10,7,0
89,71,60,29.89,10,5,0
81,70,67,30,9,5,0.51
63,60,92,30.19,5,5,0.68
71,64,87,30.16,8,2,0
79,68,76,30.09,9,2,0
84,72,70,30.01,10,3,0.02
83,74,75,29.93,9,3,0.35
81,73,78,29.88,7,2,3.66
80,74,85,29.89,8,3,0.13
82,73,78,29.94,9,3,0.21
81,70,71,30.01,10,3,0
81,68,69,30.07,10,4,0
76,58,57,30.09,10,3,0
72,56,64,30.1,10,2,0
73,62,74,30.1,10,3,1
76,64,71,30.06,10,3,0
74,66,78,30,10,2,1
77,65,72,29.98,8,3,0
78,64,68,29.92,10,2,0
78,65,70,29.83,10,2,0
84,70,68,29.79,10,5,0
84,72,72,29.82,9,7,0.03
75,51,44,30.06,10,7,0
70,48,51,30.12,10,4,0
75,62,69,29.9,10,6,0
81,69,73,29.86,10,6,0
83,70,67,29.92,9,5,0
82,70,70,29.98,10,6,0
84,71,69,29.93,10,7,1
84,70,66,29.89,10,7,0
69,62,85,30.04,7,5,1.42
69,63,86,29.88,9,2,0.01
69,59,63,29.8,10,10,0.09
66,43,49,30.09,10,5,0
72,46,46,30.06,10,2,0
72,49,50,29.94,10,4,0
74,60,69,29.9,10,3,0
76,64,67,30,10,2,0
74,63,74,30.06,10,2,0
73,61,73,30.02,9,2,0
71,55,61,30.03,9,3,0
72,59,67,30.06,10,2,1
75,59,64,30.09,10,2,1
73,59,64,30.12,10,2,0
75,59,62,30.11,10,2,0
74,58,62,29.98,10,4,0
74,61,67,29.89,10,6,0
75,65,74,29.99,10,2,0
73,62,68,30.1,10,3,0
73,59,72,30.1,10,2,1
66,49,60,30.22,9,7,0.3
58,39,54,30.34,10,5,0
62,45,61,30.26,10,6,0
68,59,72,30.12,10,6,1
67,63,87,30.09,8,5,0.56
57,56,97,30.16,6,6,1.51
59,51,75,30.28,10,4,0.04
60,41,53,30.19,10,2,0
62,47,67,30.1,10,4,0
61,43,59,30.07,10,3,0
63,53,70,29.83,10,6,0
54,41,67,30.03,10,7,0
44,23,50,30.34,10,9,0
36,13,43,30.52,10,8,0
38,17,44,30.4,10,3,0
44,39,72,30.14,5,4,0.02
